"ARI_Rating","BIS_Rating","CDR_Rating","DKC_Rating","FRS_Rating","GNB_Rating","IOW_Rating","OAK_Rating","QDC_Rating","SDG_Rating","SPK_Rating","SXF_Rating","TSC_Rating","ARI_Wins","BIS_Wins","CDR_Wins","DKC_Wins","FRS_Wins","GNB_Wins","IOW_Wins","OAK_Wins","QDC_Wins","SDG_Wins","SPK_Wins","SXF_Wins","TSC_Wins","SEED1","SEED2","SEED3","SEED4","SEED5","SEED6","SEED7","SEED8","SEMI_LOSER_1","SEMI_LOSER_2","IFL_RU","IFL_CHAMP","WeeklyWinner1","WeeklyWinner2","WeeklyWinner3","WeeklyWinner4","WeeklyWinner5","WeeklyWinner6"
1743.65424024808,1345.75811689376,1367.13656197981,1402.58053728842,1427.55680590573,1516.35638134712,1710.3070476994,1446.80132389246,1560.24012141737,1358.23740610386,1453.89537450364,1663.96485762199,1503.51122409835,13,3,5,4,6,7,12,7,8,4,6,9,7,"ARI","IOW","SXF","QDC","GNB","OAK","TSC","SPK","SPK","QDC","SXF","IOW","FRS","IOW","CDR","SXF",NA,NA
1707.70354764264,1332.90399984638,1409.63546939038,1432.82304255133,1525.55760142581,1546.40577974588,1636.67266754864,1345.13105952734,1521.45575835529,1440.95972945486,1401.60620623823,1662.06128041448,1537.08385685874,11,2,7,6,9,10,8,1,6,9,4,10,8,"ARI","SXF","GNB","FRS","SDG","TSC","IOW","CDR","ARI","TSC","IOW","FRS","DKC","IOW","CDR","SXF",NA,NA
1732.68824690934,1309.79925627637,1350.43843831816,1404.13575372729,1442.73183532441,1493.89044552519,1679.23164380644,1464.16666314241,1562.51583486071,1492.92818431181,1368.00015439497,1709.26997929796,1490.20356310495,12,1,4,4,7,6,10,8,9,11,2,11,6,"ARI","SXF","SDG","IOW","QDC","OAK","FRS","TSC","ARI","SDG","IOW","SXF","FRS","OAK","SDG","BIS",NA,NA
1759.8346680951,1351.52851859424,1384.11341032856,1445.36818024107,1425.08051001846,1500.58683935279,1715.20347181211,1418.89850611266,1534.08911309353,1352.38761266237,1418.04598349331,1674.65304440136,1520.21014079443,12,3,6,7,6,6,13,5,6,4,5,11,7,"IOW","ARI","SXF","DKC","TSC","QDC","FRS","CDR","QDC","TSC","IOW","ARI","FRS","IOW","CDR","SXF",NA,NA
1691.05568630871,1424.58930787401,1422.27669673794,1400.60972654078,1403.10848933342,1511.07983612678,1624.98749049756,1416.01817311481,1498.22300812628,1361.78567249448,1503.00581573048,1692.07252700853,1551.18756910619,10,5,7,4,5,7,9,5,5,4,10,10,10,"TSC","ARI","SPK","SXF","IOW","GNB","CDR","BIS","SPK","CDR","BIS","SXF","FRS","IOW","CDR","SXF",NA,NA
1727.00304091671,1407.69528916989,1349.18727751549,1403.60821836776,1407.71896422731,1560.22489990023,1624.98375299525,1405.012391066,1526.2029606815,1416.47574408926,1474.39729279728,1725.18113650029,1472.30903077304,10,6,4,4,5,10,9,4,7,7,7,13,5,"SXF","GNB","ARI","IOW","SPK","QDC","SDG","BIS","SDG","SPK","SXF","ARI","FRS","IOW","CDR","SXF",NA,NA
1728.96328154665,1411.45643041049,1354.59621144996,1482.43420509512,1444.30839890841,1460.81131708969,1676.30599346344,1415.91683596517,1531.54519942505,1447.04630285013,1344.99943464173,1705.78351831371,1495.83286984046,12,6,4,8,7,4,12,5,7,7,1,11,7,"IOW","ARI","SXF","DKC","TSC","FRS","QDC","SDG","ARI","DKC","SDG","SXF","DKC","IOW","SDG","SXF",NA,NA
1668.25178891006,1331.57451537866,1316.94367275326,1447.44149227082,1412.76601004195,1506.09346852006,1733.78471494338,1427.76035210151,1522.3032859337,1381.57538968274,1535.95176866575,1674.74482951202,1540.8087102861,9,2,2,7,5,7,14,5,6,5,12,9,8,"SPK","ARI","SXF","TSC","DKC","GNB","QDC","OAK","OAK","QDC","TSC","SXF","DKC","IOW","SDG","SXF",NA,NA
1667.23051490922,1390.6649618239,1356.27054196612,1380.76257550499,1449.75311223611,1543.34081662582,1620.17532835585,1484.44875317857,1563.85253565858,1432.93933095907,1426.05202862813,1726.29255223522,1458.21694691842,9,5,4,3,7,9,8,9,8,8,5,12,4,"SXF","GNB","OAK","ARI","IOW","QDC","SDG","FRS","SDG","IOW","QDC","SXF","DKC","IOW","SDG","BIS",NA,NA
1709.58364803842,1291.47685385947,1388.44954018275,1424.79287264359,1460.67450121235,1482.28660783098,1667.827933901,1460.11379111057,1533.87984224604,1453.12491084353,1434.14934966704,1715.29770685888,1478.34244060538,10,0,6,5,8,5,11,8,7,9,6,11,5,"SXF","IOW","ARI","SDG","OAK","FRS","QDC","SPK","SDG","IOW","ARI","SXF","FRS","IOW","SDG","SXF",NA,NA
